Mon Sep 30 8:05:06 AM 2024 , nlme  , 3.1-166  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , processx  , 3.8.4  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , promises  , 1.3.0  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , ps  , 1.8.0  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , R6  , 2.5.1  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , rappdirs  , 0.3.3  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , Rcpp  , 1.0.13  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , remotes  , 2.5.0  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , renv  , 1.0.7  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , rex  , 1.2.1  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , rlang  , 1.1.4  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , rmarkdown  , 2.28  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
